Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.593
itu.edu.tr,161.9.63.253 (161.9.63.253),32.291
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.301
itu.edu.tr,161.9.63.253 (161.9.63.253),38.996
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.522
itu.edu.tr,161.9.63.253 (161.9.63.253),39.682
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.294
itu.edu.tr,161.9.63.253 (161.9.63.253),93.059
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.104
itu.edu.tr,161.9.63.253 (161.9.63.253),52.915
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.525
itu.edu.tr,161.9.63.253 (161.9.63.253),55.478
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.805
itu.edu.tr,161.9.63.253 (161.9.63.253),36.638
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.541
itu.edu.tr,161.9.63.253 (161.9.63.253),88.882
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.594
itu.edu.tr,161.9.63.253 (161.9.63.253),35.756
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.317
itu.edu.tr,161.9.63.253 (161.9.63.253),79.08
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.12
metu.edu.tr,161.9.63.253 (161.9.63.253),38.922
metu.edu.tr,160.75.126.25 (160.75.126.25),36.576
metu.edu.tr,193.255.0.141 (193.255.0.141),30.028
metu.edu.tr,193.140.0.149 (193.140.0.149),52.718
metu.edu.tr,144.122.1.18 (144.122.1.18),59.822
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.032
metu.edu.tr,161.9.63.253 (161.9.63.253),68.301
metu.edu.tr,160.75.126.25 (160.75.126.25),63.888
metu.edu.tr,193.255.0.141 (193.255.0.141),69.398
metu.edu.tr,193.140.0.149 (193.140.0.149),68.835
metu.edu.tr,144.122.1.18 (144.122.1.18),52.763
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.433
metu.edu.tr,161.9.63.253 (161.9.63.253),39.087
metu.edu.tr,160.75.126.25 (160.75.126.25),38.192
metu.edu.tr,193.255.0.141 (193.255.0.141),37.571
metu.edu.tr,144.122.1.18 (144.122.1.18),49.132
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.54
metu.edu.tr,161.9.63.253 (161.9.63.253),42.941
metu.edu.tr,160.75.126.25 (160.75.126.25),37.879
metu.edu.tr,193.255.0.141 (193.255.0.141),31.29
metu.edu.tr,193.140.0.149 (193.140.0.149),39.818
metu.edu.tr,144.122.1.18 (144.122.1.18),47.652
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.176
metu.edu.tr,161.9.63.253 (161.9.63.253),38.957
metu.edu.tr,160.75.126.25 (160.75.126.25),41.004
metu.edu.tr,193.255.0.141 (193.255.0.141),41.101
metu.edu.tr,193.140.0.149 (193.140.0.149),38.395
metu.edu.tr,144.122.1.18 (144.122.1.18),43.652
,,
