Destination,Hop,Delay (ms),Group
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),19.341,0
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),13.476,1
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.702,2
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.126,3
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.567,4
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.829,5
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),19.531,6
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.644,7
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.5,8
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.5,9
metu.edu.tr,144.122.1.18 (144.122.1.18),21.188,10
metu.edu.tr,144.122.1.18 (144.122.1.18),13.896,11
metu.edu.tr,144.122.1.18 (144.122.1.18),12.209,12
metu.edu.tr,144.122.1.18 (144.122.1.18),20.39,13
metu.edu.tr,144.122.1.18 (144.122.1.18),19.269,14
metu.edu.tr,144.122.1.18 (144.122.1.18),16.931,15
metu.edu.tr,144.122.1.18 (144.122.1.18),22.245,16
metu.edu.tr,144.122.1.18 (144.122.1.18),22.059,17
metu.edu.tr,144.122.1.18 (144.122.1.18),24.645,18
metu.edu.tr,144.122.1.18 (144.122.1.18),16.94,19
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),23.065,20
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.59,21
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),30.134,22
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),24.727,23
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),15.322,24
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),95.51,25
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.35,26
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.26,27
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),71.566,28
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.505,29
erbakan.edu.tr,172.67.69.193 (172.67.69.193),23.498,30
erbakan.edu.tr,172.67.69.193 (172.67.69.193),21.049,31
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.361,32
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.149,33
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.641,34
erbakan.edu.tr,172.67.69.193 (172.67.69.193),15.941,35
erbakan.edu.tr,172.67.69.193 (172.67.69.193),64.436,36
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.768,37
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.742,38
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.212,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),53.758,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),104.618,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),59.534,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),58.039,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),52.22,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),70.603,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),49.416,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),56.407,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),51.125,48
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),65.956,49
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),15.742,50
google.com,142.251.242.231 (142.251.242.231),15.738,51
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),26.288,52
google.com,142.250.60.187 (142.250.60.187),22.265,53
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),38.908,54
google.com,142.251.242.77 (142.251.242.77),17.14,55
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),24.964,56
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),19.248,57
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),20.889,58
google.com,142.250.213.35 (142.250.213.35),21.69,59
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),73.752,60
cam.ac.uk,* * d-dw.s-dr.net.cam.ac.uk (193.60.88.6),66.677,61
cam.ac.uk,* s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),73.238,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),64.879,63
cam.ac.uk,* * s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),66.14,64
cam.ac.uk,* d-dw.s-dr.net.cam.ac.uk (193.60.88.6),100.23,65
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),67.242,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),68.747,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),110.009,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),67.16,69
univie.ac.at,aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),114.433,70
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),45.08,71
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),29.751,72
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),33.435,73
univie.ac.at,* ms-hyde-mars.cc.univie.ac.at (131.130.251.134),30.522,74
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),36.183,75
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),31.503,76
univie.ac.at,* * aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),37.628,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),126.846,78
univie.ac.at,* * 100ge0-60.core2.vie1.he.net (72.52.92.205),37.217,79
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),18.893,80
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),22.477,81
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),21.589,82
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),20.246,83
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),21.464,84
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),42.123,85
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),15.919,86
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),29.752,87
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),27.028,88
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),72.795,89
mit.edu,111.87.18.54 (111.87.18.54),310.766,90
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),130.353,91
mit.edu,ae4.decix-fra11.netarch.akamai.com (23.210.60.163),58.832,92
mit.edu,* ae3.decix-fra11.netarch.akamai.com (23.210.60.161),100.343,93
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),141.041,94
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),104.874,95
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),101.994,96
mit.edu,ae4.decix-fra11.netarch.akamai.com (23.210.60.163),102.672,97
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),49.577,98
mit.edu,ae4.decix-fra11.netarch.akamai.com (23.210.60.163),51.436,99
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),15.854,100
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),20.233,101
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),14.318,102
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),29.013,103
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),27.933,104
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),17.706,105
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.509,106
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.048,107
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.651,108
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.925,109
metu.edu.tr,144.122.1.18 (144.122.1.18),24.167,110
metu.edu.tr,144.122.1.18 (144.122.1.18),24.052,111
metu.edu.tr,144.122.1.18 (144.122.1.18),15.706,112
metu.edu.tr,144.122.1.18 (144.122.1.18),18.993,113
metu.edu.tr,144.122.1.18 (144.122.1.18),22.359,114
metu.edu.tr,144.122.1.18 (144.122.1.18),13.61,115
metu.edu.tr,144.122.1.18 (144.122.1.18),22.19,116
metu.edu.tr,144.122.1.18 (144.122.1.18),14.398,117
metu.edu.tr,144.122.1.18 (144.122.1.18),21.628,118
metu.edu.tr,144.122.1.18 (144.122.1.18),16.193,119
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.276,120
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.805,121
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),33.598,122
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.957,123
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),18.734,124
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),85.308,125
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),27.843,126
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),27.244,127
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),71.096,128
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.761,129
erbakan.edu.tr,172.67.69.193 (172.67.69.193),25.674,130
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.912,131
erbakan.edu.tr,172.67.69.193 (172.67.69.193),15.355,132
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.006,133
erbakan.edu.tr,172.67.69.193 (172.67.69.193),4.161,134
erbakan.edu.tr,172.67.69.193 (172.67.69.193),16.755,135
erbakan.edu.tr,172.67.69.193 (172.67.69.193),65.191,136
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.296,137
erbakan.edu.tr,172.67.69.193 (172.67.69.193),2.303,138
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.317,139
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),53.939,140
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),105.017,141
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),51.539,142
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),57.282,143
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),45.605,144
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),72.022,145
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),54.38,146
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),53.815,147
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),50.665,148
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),67.443,149
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),15.594,150
google.com,142.251.242.231 (142.251.242.231),12.697,151
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),24.932,152
google.com,142.250.60.187 (142.250.60.187),16.547,153
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),33.048,154
google.com,142.251.242.77 (142.251.242.77),16.634,155
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),14.46,156
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),20.1,157
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),14.584,158
google.com,142.250.213.35 (142.250.213.35),25.261,159
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),66.835,160
cam.ac.uk,* * d-dw.s-dr.net.cam.ac.uk (193.60.88.6),76.943,161
cam.ac.uk,* s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),67.337,162
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),65.277,163
cam.ac.uk,* * s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),72.508,164
cam.ac.uk,* d-dw.s-dr.net.cam.ac.uk (193.60.88.6),107.018,165
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),66.869,166
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),69.276,167
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),102.029,168
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),64.295,169
univie.ac.at,aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),110.126,170
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),52.545,171
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),38.069,172
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),37.225,173
univie.ac.at,* ms-hyde-mars.cc.univie.ac.at (131.130.251.134),27.675,174
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),37.149,175
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),24.282,176
univie.ac.at,* * aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),28.4,177
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),127.147,178
univie.ac.at,* * 100ge0-60.core2.vie1.he.net (72.52.92.205),34.53,179
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),15.787,180
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),16.359,181
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),24.726,182
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),17.286,183
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),21.954,184
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),41.601,185
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),20.236,186
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),27.517,187
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),25.442,188
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),71.717,189
mit.edu,111.87.18.54 (111.87.18.54),314.313,190
mit.edu,ae3.decix-fra11.netarch.akamai.com (23.210.60.161),134.421,191
mit.edu,ae4.decix-fra11.netarch.akamai.com (23.210.60.163),53.194,192
