Destination,Hop,Delay (ms),Group
itu.edu.tr,161.9.63.253 (161.9.63.253),27.667,0
itu.edu.tr,161.9.63.253 (161.9.63.253),38.601,1
itu.edu.tr,161.9.63.253 (161.9.63.253),39.202,2
itu.edu.tr,161.9.63.253 (161.9.63.253),92.743,3
itu.edu.tr,161.9.63.253 (161.9.63.253),46.572,4
itu.edu.tr,161.9.63.253 (161.9.63.253),54.1,5
itu.edu.tr,161.9.63.253 (161.9.63.253),37.554,6
itu.edu.tr,161.9.63.253 (161.9.63.253),82.829,7
itu.edu.tr,161.9.63.253 (161.9.63.253),40.851,8
itu.edu.tr,161.9.63.253 (161.9.63.253),77.383,9
metu.edu.tr,144.122.1.18 (144.122.1.18),49.7,10
metu.edu.tr,144.122.1.18 (144.122.1.18),55.757,11
metu.edu.tr,144.122.1.18 (144.122.1.18),49.225,12
metu.edu.tr,144.122.1.18 (144.122.1.18),49.337,13
metu.edu.tr,144.122.1.18 (144.122.1.18),46.773,14
metu.edu.tr,144.122.1.18 (144.122.1.18),43.556,15
metu.edu.tr,144.122.1.18 (144.122.1.18),44.863,16
metu.edu.tr,144.122.1.18 (144.122.1.18),42.647,17
metu.edu.tr,144.122.1.18 (144.122.1.18),45.163,18
metu.edu.tr,144.122.1.18 (144.122.1.18),45.116,19
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),44.893,20
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),53.058,21
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),32.611,22
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),81.072,23
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),35.123,24
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),76.086,25
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),31.448,26
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),67.77,27
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),33.133,28
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),36.01,29
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),31.243,30
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),33.648,31
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),34.403,32
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),63.943,33
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),46.093,34
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),79.771,35
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),438.002,36
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.315,37
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.302,38
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),36.584,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.326,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),74.506,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),71.2,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),195.607,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),71.394,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),80.881,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),91.978,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),76.791,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),68.644,48
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),99.553,49
google.com,* 142.251.227.251 (142.251.227.251),22.928,50
google.com,* * 142.251.227.253 (142.251.227.253),32.687,51
google.com,* 142.250.213.34 (142.250.213.34),66.604,52
google.com,142.251.227.251 (142.251.227.251),471.222,53
google.com,142.251.227.253 (142.251.227.253),245.297,54
google.com,* 142.251.227.251 (142.251.227.251),69.095,55
google.com,142.250.213.35 (142.250.213.35),42.053,56
google.com,* 142.251.227.253 (142.251.227.253),459.088,57
google.com,* 142.251.227.253 (142.251.227.253),36.884,58
google.com,142.251.227.253 (142.251.227.253),34.237,59
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),85.624,60
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),106.093,61
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),98.638,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),75.544,63
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),110.535,64
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),98.482,65
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),124.555,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),107.45,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),106.159,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),121.482,69
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),57.814,70
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),49.533,71
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),61.866,72
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),58.058,73
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),53.676,74
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),48.655,75
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),59.637,76
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),63.964,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),49.807,78
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),140.065,79
kyoto-u.ac.jp,ae-1.a03.londen12.uk.bb.gin.ntt.net (129.250.3.251),133.98,80
kyoto-u.ac.jp,ae-2.r01.mlanit02.it.bb.gin.ntt.net (129.250.3.181),83.543,81
kyoto-u.ac.jp,ae-2.r01.vienat02.at.bb.gin.ntt.net (129.250.2.216),64.144,82
kyoto-u.ac.jp,ae-4.r20.vienat02.at.bb.gin.ntt.net (129.250.7.34),73.168,83
kyoto-u.ac.jp,* * ae-1.a00.mlanit02.it.bb.gin.ntt.net (129.250.3.163),90.665,84
kyoto-u.ac.jp,ae-1.a01.parsfr05.fr.bb.gin.ntt.net (129.250.2.107),168.32,85
kyoto-u.ac.jp,* * ae-1.r03.londen05.uk.bb.gin.ntt.net (129.250.6.113),109.925,86
kyoto-u.ac.jp,* ae-1.a01.amstnl07.nl.bb.gin.ntt.net (129.250.7.89),79.394,87
kyoto-u.ac.jp,ffm-bb1-link.ip.twelve99.net (62.115.132.226),81.08,88
kyoto-u.ac.jp,* ae-1.a00.parsfr05.fr.bb.gin.ntt.net (129.250.2.71),86.006,89
mit.edu,89.221.43.35 (89.221.43.35),87.192,90
mit.edu,ae34.r01.border101.lon02.fab.netarch.akamai.com (23.210.50.21),81.12,91
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),262.486,92
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),88.016,93
mit.edu,89.221.43.35 (89.221.43.35),92.969,94
mit.edu,ae-1.akamai-onnet.frnkge07.de.bb.gin.ntt.net (128.241.6.179),64.416,95
mit.edu,ae-1.akamai-onnet.frnkge07.de.bb.gin.ntt.net (128.241.6.179),104.447,96
mit.edu,ae34.r01.border101.lon02.fab.netarch.akamai.com (23.210.50.21),108.319,97
