Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.239
itu.edu.tr,161.9.63.253 (161.9.63.253),27.667
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.222
itu.edu.tr,161.9.63.253 (161.9.63.253),38.601
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.094
itu.edu.tr,161.9.63.253 (161.9.63.253),39.202
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.913
itu.edu.tr,161.9.63.253 (161.9.63.253),92.743
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.081
itu.edu.tr,161.9.63.253 (161.9.63.253),46.572
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.741
itu.edu.tr,161.9.63.253 (161.9.63.253),54.1
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.558
itu.edu.tr,161.9.63.253 (161.9.63.253),37.554
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.403
itu.edu.tr,161.9.63.253 (161.9.63.253),82.829
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.081
itu.edu.tr,161.9.63.253 (161.9.63.253),40.851
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.541
itu.edu.tr,161.9.63.253 (161.9.63.253),77.383
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.807
metu.edu.tr,161.9.63.253 (161.9.63.253),33.436
metu.edu.tr,160.75.126.25 (160.75.126.25),32.502
metu.edu.tr,193.255.0.141 (193.255.0.141),30.084
metu.edu.tr,193.140.0.149 (193.140.0.149),46.681
metu.edu.tr,144.122.1.18 (144.122.1.18),49.7
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.185
metu.edu.tr,161.9.63.253 (161.9.63.253),66.081
metu.edu.tr,160.75.126.25 (160.75.126.25),68.316
metu.edu.tr,193.255.0.141 (193.255.0.141),71.071
metu.edu.tr,193.140.0.149 (193.140.0.149),67.823
metu.edu.tr,144.122.1.18 (144.122.1.18),55.757
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.931
metu.edu.tr,161.9.63.253 (161.9.63.253),37.439
metu.edu.tr,160.75.126.25 (160.75.126.25),37.562
metu.edu.tr,193.255.0.141 (193.255.0.141),37.584
metu.edu.tr,144.122.1.18 (144.122.1.18),49.225
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.309
metu.edu.tr,161.9.63.253 (161.9.63.253),35.196
