Destination,Hop,Delay (ms)
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),39.84
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),29.241
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),37.213
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),5.735
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),81.19
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),79.828
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),74.534
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),75.996
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.16
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),63.829
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),32.089
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),34.957
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),0.091
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),59.661
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),66.375
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),65.458
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),61.833
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.849
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),40.032
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),35.333
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),34.931
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.927
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),35.677
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),36.297
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),33.053
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),30.585
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.463
erbakan.edu.tr,161.9.63.253 (161.9.63.253),45.379
erbakan.edu.tr,160.75.126.25 (160.75.126.25),46.688
erbakan.edu.tr,193.255.0.141 (193.255.0.141),49.847
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),41.581
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),55.955
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),32.838
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),37.68
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),3.04
erbakan.edu.tr,161.9.63.253 (161.9.63.253),29.727
erbakan.edu.tr,160.75.126.25 (160.75.126.25),30.963
erbakan.edu.tr,193.255.0.141 (193.255.0.141),58.578
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),61.804
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),54.219
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),30.334
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),34.809
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),3.921
erbakan.edu.tr,161.9.63.253 (161.9.63.253),55.182
erbakan.edu.tr,160.75.126.25 (160.75.126.25),56.809
erbakan.edu.tr,193.255.0.141 (193.255.0.141),52.731
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),57.086
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),41.332
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),33.178
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),38.773
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.078
erbakan.edu.tr,* 201.120.192.193.static.turk.net (193.192.120.201),63.454
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),68.67
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),30.026
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),64.991
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.447
erbakan.edu.tr,161.9.63.253 (161.9.63.253),22.191
erbakan.edu.tr,160.75.126.25 (160.75.126.25),22.863
erbakan.edu.tr,193.255.0.141 (193.255.0.141),25.103
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),20.176
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),23.987
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),25.869
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),42.249
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),5.657
erbakan.edu.tr,161.9.63.253 (161.9.63.253),38.853
erbakan.edu.tr,160.75.126.25 (160.75.126.25),37.784
erbakan.edu.tr,193.255.0.141 (193.255.0.141),35.871
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),30.872
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),30.242
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),32.276
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),78.935
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.502
erbakan.edu.tr,161.9.63.253 (161.9.63.253),246.879
erbakan.edu.tr,160.75.126.25 (160.75.126.25),239.187
erbakan.edu.tr,193.255.0.141 (193.255.0.141),236.281
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),237.912
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),319.771
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),444.78
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),440.193
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),2.026
erbakan.edu.tr,161.9.63.253 (161.9.63.253),144.353
erbakan.edu.tr,160.75.126.25 (160.75.126.25),152.303
erbakan.edu.tr,193.255.0.141 (193.255.0.141),151.123
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),151.429
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),65.339
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),42.272
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),38.804
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),6.349
erbakan.edu.tr,161.9.63.253 (161.9.63.253),49.095
erbakan.edu.tr,160.75.126.25 (160.75.126.25),49.914
erbakan.edu.tr,193.255.0.141 (193.255.0.141),45.788
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),54.49
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),36.803
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),34.801
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.061
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.733
erbakan.edu.tr,161.9.63.253 (161.9.63.253),20.18
