Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.213
itu.edu.tr,V12.bbrouter (192.168.1.1),6.713
itu.edu.tr,172.17.1.250 (172.17.1.250),5.625
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),9.036
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),5.951
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),13.174
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.582
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.736
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.036
itu.edu.tr,V12.bbrouter (192.168.1.1),9.163
itu.edu.tr,172.17.1.250 (172.17.1.250),16.969
itu.edu.tr,* 225.100.146.159.srv.turk.net (159.146.100.225),15.062
itu.edu.tr,* 229.100.146.159.srv.turk.net (159.146.100.229),16.054
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),15.918
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.952
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.45
itu.edu.tr,V12.bbrouter (192.168.1.1),10.424
itu.edu.tr,172.17.1.250 (172.17.1.250),15.191
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),11.872
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),7.339
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),18.457
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),17.994
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),15.701
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.61
itu.edu.tr,V12.bbrouter (192.168.1.1),6.837
itu.edu.tr,172.17.1.250 (172.17.1.250),6.944
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.86
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),10.024
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),18.183
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),31.698
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.447
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.853
itu.edu.tr,V12.bbrouter (192.168.1.1),13.395
itu.edu.tr,172.17.1.250 (172.17.1.250),42.157
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),38.636
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),34.053
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),36.623
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),18.12
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),30.516
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.312
itu.edu.tr,V12.bbrouter (192.168.1.1),8.029
itu.edu.tr,172.17.1.250 (172.17.1.250),12.908
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),20.563
