Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.139
itu.edu.tr,161.9.79.253 (161.9.79.253),10.858
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.251
itu.edu.tr,161.9.79.253 (161.9.79.253),18.62
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.397
itu.edu.tr,161.9.79.253 (161.9.79.253),19.082
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.857
itu.edu.tr,161.9.79.253 (161.9.79.253),29.219
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.859
itu.edu.tr,161.9.79.253 (161.9.79.253),244.955
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.552
itu.edu.tr,161.9.79.253 (161.9.79.253),84.318
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.761
itu.edu.tr,161.9.79.253 (161.9.79.253),25.397
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.112
itu.edu.tr,161.9.79.253 (161.9.79.253),28.416
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.223
itu.edu.tr,161.9.79.253 (161.9.79.253),4.076
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.378
itu.edu.tr,161.9.79.253 (161.9.79.253),92.389
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.633
metu.edu.tr,161.9.79.253 (161.9.79.253),60.2
metu.edu.tr,160.75.126.25 (160.75.126.25),59.13
metu.edu.tr,193.255.0.141 (193.255.0.141),60.044
metu.edu.tr,193.140.0.149 (193.140.0.149),67.547
metu.edu.tr,144.122.1.18 (144.122.1.18),130.489
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.794
metu.edu.tr,161.9.79.253 (161.9.79.253),59.37
metu.edu.tr,160.75.126.25 (160.75.126.25),20.52
metu.edu.tr,193.255.0.141 (193.255.0.141),22.506
metu.edu.tr,* 193.140.0.149 (193.140.0.149),604.287
metu.edu.tr,144.122.1.18 (144.122.1.18),102.966
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),4.03
metu.edu.tr,161.9.79.253 (161.9.79.253),52.731
metu.edu.tr,160.75.126.25 (160.75.126.25),54.885
metu.edu.tr,193.255.0.141 (193.255.0.141),54.214
metu.edu.tr,193.140.0.149 (193.140.0.149),60.023
metu.edu.tr,144.122.1.18 (144.122.1.18),119.603
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.75
metu.edu.tr,161.9.79.253 (161.9.79.253),50.804
metu.edu.tr,160.75.126.25 (160.75.126.25),54.04
metu.edu.tr,193.255.0.141 (193.255.0.141),52.404
metu.edu.tr,193.140.0.149 (193.140.0.149),162.969
metu.edu.tr,144.122.1.18 (144.122.1.18),183.668
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.107
metu.edu.tr,161.9.79.253 (161.9.79.253),8.886
metu.edu.tr,160.75.126.25 (160.75.126.25),10.913
metu.edu.tr,193.255.0.141 (193.255.0.141),8.39
metu.edu.tr,193.140.0.149 (193.140.0.149),19.13
metu.edu.tr,144.122.1.18 (144.122.1.18),147.24
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.214
metu.edu.tr,161.9.79.253 (161.9.79.253),9.783
metu.edu.tr,160.75.126.25 (160.75.126.25),15.032
metu.edu.tr,193.255.0.141 (193.255.0.141),15.185
metu.edu.tr,193.140.0.149 (193.140.0.149),102.992
metu.edu.tr,144.122.1.18 (144.122.1.18),144.585
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.327
metu.edu.tr,161.9.79.253 (161.9.79.253),137.624
metu.edu.tr,160.75.126.25 (160.75.126.25),137.856
metu.edu.tr,193.255.0.141 (193.255.0.141),134.12
metu.edu.tr,193.140.0.149 (193.140.0.149),139.56
metu.edu.tr,144.122.1.18 (144.122.1.18),85.413
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.041
metu.edu.tr,161.9.79.253 (161.9.79.253),19.797
metu.edu.tr,160.75.126.25 (160.75.126.25),19.72
