Destination,Hop,Delay (ms),Group
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),685.892,4837
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),553.712,4838
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),798.732,4839
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),776.641,4840
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),410.896,4841
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1020.513,4842
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1108.261,4843
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),969.055,4844
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),858.926,4845
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),839.514,4846
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),617.006,4847
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1157.768,4848
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),772.784,4849
google.com,142.251.227.251 (142.251.227.251),792.103,4850
google.com,142.251.227.251 (142.251.227.251),1173.621,4851
google.com,* * 142.251.227.253 (142.251.227.253),441.705,4852
google.com,* * 142.251.227.251 (142.251.227.251),296.511,4853
google.com,* * 108.170.250.161 (108.170.250.161),207.945,4854
google.com,* 142.251.227.251 (142.251.227.251),422.743,4855
google.com,142.251.227.251 (142.251.227.251),435.717,4856
google.com,142.251.227.251 (142.251.227.251),677.377,4857
google.com,142.251.227.251 (142.251.227.251),624.212,4858
google.com,* * 142.251.227.253 (142.251.227.253),556.182,4859
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1071.891,4860
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1604.211,4861
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1303.559,4862
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1061.14,4863
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1273.768,4864
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1128.126,4865
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),781.73,4866
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1030.608,4867
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),512.017,4868
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),783.883,4869
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),836.65,4870
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),639.859,4871
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),807.718,4872
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),717.793,4873
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),676.038,4874
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),903.875,4875
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),835.696,4876
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),1133.722,4877
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),356.797,4878
