Destination,Hop,Delay (ms),Group
itu.edu.tr,161.9.79.253 (161.9.79.253),15.481,0
itu.edu.tr,161.9.79.253 (161.9.79.253),22.596,1
itu.edu.tr,161.9.79.253 (161.9.79.253),21.196,2
itu.edu.tr,161.9.79.253 (161.9.79.253),33.53,3
itu.edu.tr,161.9.79.253 (161.9.79.253),243.693,4
itu.edu.tr,161.9.79.253 (161.9.79.253),85.808,5
itu.edu.tr,161.9.79.253 (161.9.79.253),28.844,6
itu.edu.tr,161.9.79.253 (161.9.79.253),26.331,7
itu.edu.tr,161.9.79.253 (161.9.79.253),5.408,8
itu.edu.tr,161.9.79.253 (161.9.79.253),95.858,9
metu.edu.tr,144.122.1.18 (144.122.1.18),133.771,10
metu.edu.tr,144.122.1.18 (144.122.1.18),104.882,11
metu.edu.tr,144.122.1.18 (144.122.1.18),123.423,12
metu.edu.tr,144.122.1.18 (144.122.1.18),185.068,13
metu.edu.tr,144.122.1.18 (144.122.1.18),148.29,14
metu.edu.tr,144.122.1.18 (144.122.1.18),145.044,15
metu.edu.tr,144.122.1.18 (144.122.1.18),84.658,16
metu.edu.tr,144.122.1.18 (144.122.1.18),46.855,17
metu.edu.tr,144.122.1.18 (144.122.1.18),179.583,18
metu.edu.tr,144.122.1.18 (144.122.1.18),185.823,19
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),31.417,20
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),43.05,21
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),291.866,22
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),36.12,23
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),100.984,24
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),153.242,25
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),407.105,26
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),440.634,27
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),530.339,28
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),664.05,29
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),480.239,30
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),568.302,31
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),755.18,32
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),229.815,33
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),566.46,34
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1229.62,35
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),321.82,36
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),686.72,37
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),557.442,38
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),799.383,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),781.795,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),410.43,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1017.982,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1107.099,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),971.574,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),863.837,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),837.558,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),619.414,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1159.212,48
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),777.805,49
google.com,142.251.227.251 (142.251.227.251),796.188,50
google.com,142.251.227.251 (142.251.227.251),1178.169,51
google.com,* * 142.251.227.253 (142.251.227.253),440.479,52
google.com,* * 142.251.227.251 (142.251.227.251),300.81,53
google.com,* * 108.170.250.161 (108.170.250.161),203.285,54
google.com,* 142.251.227.251 (142.251.227.251),421.567,55
google.com,142.251.227.251 (142.251.227.251),432.217,56
google.com,142.251.227.251 (142.251.227.251),678.97,57
google.com,142.251.227.251 (142.251.227.251),629.991,58
google.com,* * 142.251.227.253 (142.251.227.253),554.637,59
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1074.55,60
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1612.292,61
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1299.813,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1065.022,63
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1276.972,64
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1133.975,65
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),785.153,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1033.053,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),513.682,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),787.844,69
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),843.509,70
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),644.163,71
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),809.165,72
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),718.265,73
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),682.087,74
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),905.234,75
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),841.644,76
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),1135.75,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),361.425,78
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),496.038,79
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),780.695,80
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),498.554,81
kyoto-u.ac.jp,ae-0.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.30),837.818,82
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),764.059,83
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),929.037,84
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),940.865,85
kyoto-u.ac.jp,ae-1.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.152),705.105,86
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),480.615,87
kyoto-u.ac.jp,06-ulus-sr14s-t2-2---06-ulus-sr12e-t3-1.statik.turktelekom.com.tr (81.212.222.209),1283.295,88
kyoto-u.ac.jp,ae-7.r21.frnkge13.de.bb.gin.ntt.net (129.250.7.43),1400.9,89
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),956.346,90
mit.edu,akamai-ic-350392.ip.twelve99-cust.net (62.115.181.75),1087.637,91
mit.edu,ae38.r01.border101.iad03.fab.netarch.akamai.com (23.203.152.143),1226.844,92
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),836.228,93
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),949.891,94
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),766.551,95
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),918.776,96
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),327.694,97
mit.edu,208.185.22.10.IPYX-074089-910-ZYO.zip.zayo.com (208.185.22.10),900.335,98
mit.edu,ae36.r03.border101.mia02.fab.netarch.akamai.com (23.203.157.23),685.136,99
itu.edu.tr,161.9.79.253 (161.9.79.253),14.278,100
itu.edu.tr,161.9.79.253 (161.9.79.253),19.841,101
itu.edu.tr,161.9.79.253 (161.9.79.253),19.983,102
itu.edu.tr,161.9.79.253 (161.9.79.253),34.252,103
itu.edu.tr,161.9.79.253 (161.9.79.253),247.472,104
itu.edu.tr,161.9.79.253 (161.9.79.253),81.878,105
itu.edu.tr,161.9.79.253 (161.9.79.253),27.815,106
itu.edu.tr,161.9.79.253 (161.9.79.253),28.591,107
itu.edu.tr,161.9.79.253 (161.9.79.253),6.269,108
itu.edu.tr,161.9.79.253 (161.9.79.253),97.138,109
metu.edu.tr,144.122.1.18 (144.122.1.18),128.255,110
metu.edu.tr,144.122.1.18 (144.122.1.18),104.983,111
metu.edu.tr,144.122.1.18 (144.122.1.18),125.851,112
metu.edu.tr,144.122.1.18 (144.122.1.18),186.944,113
metu.edu.tr,144.122.1.18 (144.122.1.18),146.887,114
metu.edu.tr,144.122.1.18 (144.122.1.18),146.893,115
metu.edu.tr,144.122.1.18 (144.122.1.18),83.979,116
metu.edu.tr,144.122.1.18 (144.122.1.18),38.611,117
metu.edu.tr,144.122.1.18 (144.122.1.18),179.707,118
metu.edu.tr,144.122.1.18 (144.122.1.18),183.816,119
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),32.399,120
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),41.397,121
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),294.815,122
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),31.668,123
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),103.363,124
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),157.873,125
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),407.861,126
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),442.215,127
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),529.994,128
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),664.924,129
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),479.027,130
