Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.971
itu.edu.tr,161.9.79.253 (161.9.79.253),15.481
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.356
itu.edu.tr,161.9.79.253 (161.9.79.253),22.596
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.322
itu.edu.tr,161.9.79.253 (161.9.79.253),21.196
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.117
itu.edu.tr,161.9.79.253 (161.9.79.253),33.53
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.573
itu.edu.tr,161.9.79.253 (161.9.79.253),243.693
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.514
itu.edu.tr,161.9.79.253 (161.9.79.253),85.808
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.294
itu.edu.tr,161.9.79.253 (161.9.79.253),28.844
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.25
itu.edu.tr,161.9.79.253 (161.9.79.253),26.331
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.987
itu.edu.tr,161.9.79.253 (161.9.79.253),5.408
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.187
itu.edu.tr,161.9.79.253 (161.9.79.253),95.858
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.102
metu.edu.tr,161.9.79.253 (161.9.79.253),59.792
metu.edu.tr,160.75.126.25 (160.75.126.25),59.23
metu.edu.tr,193.255.0.141 (193.255.0.141),60.371
metu.edu.tr,193.140.0.149 (193.140.0.149),66.323
metu.edu.tr,144.122.1.18 (144.122.1.18),133.771
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),4.693
metu.edu.tr,161.9.79.253 (161.9.79.253),64.259
metu.edu.tr,160.75.126.25 (160.75.126.25),23.472
metu.edu.tr,193.255.0.141 (193.255.0.141),23.813
metu.edu.tr,* 193.140.0.149 (193.140.0.149),600.654
metu.edu.tr,144.122.1.18 (144.122.1.18),104.882
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.518
metu.edu.tr,161.9.79.253 (161.9.79.253),55.51
metu.edu.tr,160.75.126.25 (160.75.126.25),54.339
metu.edu.tr,193.255.0.141 (193.255.0.141),55.325
metu.edu.tr,193.140.0.149 (193.140.0.149),63.339
metu.edu.tr,144.122.1.18 (144.122.1.18),123.423
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),7.087
metu.edu.tr,161.9.79.253 (161.9.79.253),56.85
metu.edu.tr,160.75.126.25 (160.75.126.25),55.702
metu.edu.tr,193.255.0.141 (193.255.0.141),56.969
metu.edu.tr,193.140.0.149 (193.140.0.149),168.674
metu.edu.tr,144.122.1.18 (144.122.1.18),185.068
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.46
metu.edu.tr,161.9.79.253 (161.9.79.253),14.543
metu.edu.tr,160.75.126.25 (160.75.126.25),10.573
metu.edu.tr,193.255.0.141 (193.255.0.141),13.828
metu.edu.tr,193.140.0.149 (193.140.0.149),25.276
metu.edu.tr,144.122.1.18 (144.122.1.18),148.29
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.237
metu.edu.tr,161.9.79.253 (161.9.79.253),12.292
metu.edu.tr,160.75.126.25 (160.75.126.25),15.086
metu.edu.tr,193.255.0.141 (193.255.0.141),20.066
metu.edu.tr,193.140.0.149 (193.140.0.149),102.001
metu.edu.tr,144.122.1.18 (144.122.1.18),145.044
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),5.778
metu.edu.tr,161.9.79.253 (161.9.79.253),138.281
metu.edu.tr,160.75.126.25 (160.75.126.25),139.983
metu.edu.tr,193.255.0.141 (193.255.0.141),139.947
metu.edu.tr,193.140.0.149 (193.140.0.149),142.009
metu.edu.tr,144.122.1.18 (144.122.1.18),84.658
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.832
metu.edu.tr,161.9.79.253 (161.9.79.253),20.028
metu.edu.tr,160.75.126.25 (160.75.126.25),25.676
metu.edu.tr,193.255.0.141 (193.255.0.141),24.457
metu.edu.tr,* 193.140.0.149 (193.140.0.149),57.461
metu.edu.tr,144.122.1.18 (144.122.1.18),46.855
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),5.794
metu.edu.tr,161.9.79.253 (161.9.79.253),126.408
metu.edu.tr,160.75.126.25 (160.75.126.25),125.895
metu.edu.tr,193.255.0.141 (193.255.0.141),146.802
metu.edu.tr,193.140.0.149 (193.140.0.149),153.135
metu.edu.tr,144.122.1.18 (144.122.1.18),179.583
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.611
metu.edu.tr,161.9.79.253 (161.9.79.253),82.768
metu.edu.tr,160.75.126.25 (160.75.126.25),77.048
metu.edu.tr,193.255.0.141 (193.255.0.141),82.191
metu.edu.tr,193.140.0.149 (193.140.0.149),93.079
metu.edu.tr,144.122.1.18 (144.122.1.18),185.823
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.208
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),26.495
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),27.464
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),27.857
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),31.417
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.162
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),40.901
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),39.655
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),43.05
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.041
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),286.165
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),285.67
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),288.429
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),291.866
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.09
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),32.095
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),29.938
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),36.12
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.568
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),185.498
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),183.189
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),192.164
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),100.984
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),5.926
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),94.688
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),80.265
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),89.945
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),153.242
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.654
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),313.347
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),313.165
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),309.636
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),407.105
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.135
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),377.4
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),381.944
