Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),7.781
itu.edu.tr,V12.bbrouter (192.168.1.1),5.33
itu.edu.tr,172.17.1.250 (172.17.1.250),10.943
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.083
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),13.57
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),15.346
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),17.267
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),20.475
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.858
itu.edu.tr,V12.bbrouter (192.168.1.1),5.053
itu.edu.tr,172.17.1.250 (172.17.1.250),14.73
itu.edu.tr,* 225.100.146.159.srv.turk.net (159.146.100.225),19.716
itu.edu.tr,* 229.100.146.159.srv.turk.net (159.146.100.229),13.098
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),11.689
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.194
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.893
itu.edu.tr,V12.bbrouter (192.168.1.1),7.587
itu.edu.tr,172.17.1.250 (172.17.1.250),13.003
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.915
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),12.899
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),18.448
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.447
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),20.391
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.488
itu.edu.tr,V12.bbrouter (192.168.1.1),16.166
itu.edu.tr,172.17.1.250 (172.17.1.250),9.144
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),13.293
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),13.368
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),14.904
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),38.624
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),35.6
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.947
itu.edu.tr,V12.bbrouter (192.168.1.1),9.894
itu.edu.tr,172.17.1.250 (172.17.1.250),40.403
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),40.542
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),33.539
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),37.05
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),19.28
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),31.77
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.854
itu.edu.tr,V12.bbrouter (192.168.1.1),12.297
itu.edu.tr,172.17.1.250 (172.17.1.250),12.384
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.792
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),17.752
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),15.418
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.039
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.887
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.508
itu.edu.tr,V12.bbrouter (192.168.1.1),17.448
itu.edu.tr,172.17.1.250 (172.17.1.250),10.149
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),30.555
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),12.59
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),25.39
