Destination,Hop,Delay (ms),Group
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),20.475,0
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.194,1
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),20.391,2
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),35.6,3
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),31.77,4
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.887,5
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.092,6
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.397,7
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),27.903,8
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.442,9
metu.edu.tr,144.122.1.18 (144.122.1.18),24.599,10
metu.edu.tr,144.122.1.18 (144.122.1.18),17.681,11
metu.edu.tr,144.122.1.18 (144.122.1.18),24.13,12
metu.edu.tr,144.122.1.18 (144.122.1.18),24.413,13
metu.edu.tr,144.122.1.18 (144.122.1.18),21.579,14
metu.edu.tr,144.122.1.18 (144.122.1.18),22.757,15
metu.edu.tr,144.122.1.18 (144.122.1.18),19.52,16
metu.edu.tr,144.122.1.18 (144.122.1.18),19.547,17
metu.edu.tr,144.122.1.18 (144.122.1.18),18.606,18
metu.edu.tr,144.122.1.18 (144.122.1.18),21.937,19
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),30.648,20
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),33.25,21
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),33.126,22
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.571,23
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),19.384,24
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),96.862,25
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),30.841,26
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),34.679,27
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),76.646,28
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),32.196,29
erbakan.edu.tr,172.67.69.193 (172.67.69.193),30.196,30
erbakan.edu.tr,172.67.69.193 (172.67.69.193),18.375,31
erbakan.edu.tr,172.67.69.193 (172.67.69.193),16.589,32
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.503,33
erbakan.edu.tr,172.67.69.193 (172.67.69.193),18.069,34
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.841,35
erbakan.edu.tr,172.67.69.193 (172.67.69.193),69.98,36
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.484,37
erbakan.edu.tr,172.67.69.193 (172.67.69.193),11.359,38
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.412,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),54.424,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),106.171,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),60.049,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),53.799,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),57.019,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),76.748,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),59.984,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),55.039,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),54.091,48
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),72.334,49
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),21.121,50
google.com,142.251.242.231 (142.251.242.231),24.722,51
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),22.088,52
google.com,142.250.60.187 (142.250.60.187),19.153,53
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),41.123,54
google.com,142.251.242.77 (142.251.242.77),21.23,55
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),22.425,56
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),20.697,57
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),21.394,58
google.com,142.250.213.35 (142.250.213.35),21.683,59
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),70.003,60
cam.ac.uk,* * d-dw.s-dr.net.cam.ac.uk (193.60.88.6),73.188,61
cam.ac.uk,* s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),67.885,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),67.719,63
cam.ac.uk,* * s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),69.335,64
cam.ac.uk,* d-dw.s-dr.net.cam.ac.uk (193.60.88.6),103.603,65
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),72.416,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),67.018,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),107.483,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),64.575,69
univie.ac.at,aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),113.572,70
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),53.239,71
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),37.022,72
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),35.635,73
univie.ac.at,* ms-hyde-mars.cc.univie.ac.at (131.130.251.134),38.997,74
univie.ac.at,* dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),34.486,75
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),36.638,76
univie.ac.at,* * aconet-legally-rep-by-univ-of-vienna.e0-5.switch1.vie1.he.net (184.104.204.222),35.776,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),127.793,78
univie.ac.at,* * 100ge0-60.core2.vie1.he.net (72.52.92.205),35.75,79
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),17.672,80
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),23.85,81
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),23.847,82
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),23.138,83
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),19.263,84
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),35.646,85
kyoto-u.ac.jp,185.1.226.72 (185.1.226.72),21.796,86
