Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.442
itu.edu.tr,161.9.79.253 (161.9.79.253),7.597
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.474
itu.edu.tr,161.9.79.253 (161.9.79.253),16.072
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.543
itu.edu.tr,161.9.79.253 (161.9.79.253),13.65
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.463
itu.edu.tr,161.9.79.253 (161.9.79.253),34.49
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.617
itu.edu.tr,161.9.79.253 (161.9.79.253),248.696
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.69
itu.edu.tr,161.9.79.253 (161.9.79.253),80.503
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.84
itu.edu.tr,161.9.79.253 (161.9.79.253),25.796
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.077
itu.edu.tr,161.9.79.253 (161.9.79.253),29.425
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.435
itu.edu.tr,161.9.79.253 (161.9.79.253),5.604
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.05
itu.edu.tr,161.9.79.253 (161.9.79.253),95.699
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),4.672
metu.edu.tr,161.9.79.253 (161.9.79.253),52.392
metu.edu.tr,160.75.126.25 (160.75.126.25),62.312
metu.edu.tr,193.255.0.141 (193.255.0.141),60.954
metu.edu.tr,193.140.0.149 (193.140.0.149),63.244
metu.edu.tr,144.122.1.18 (144.122.1.18),124.491
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.472
metu.edu.tr,161.9.79.253 (161.9.79.253),59.393
metu.edu.tr,160.75.126.25 (160.75.126.25),13.255
metu.edu.tr,193.255.0.141 (193.255.0.141),15.527
metu.edu.tr,* 193.140.0.149 (193.140.0.149),597.581
metu.edu.tr,144.122.1.18 (144.122.1.18),100.803
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.491
metu.edu.tr,161.9.79.253 (161.9.79.253),54.8
metu.edu.tr,160.75.126.25 (160.75.126.25),48.223
metu.edu.tr,193.255.0.141 (193.255.0.141),56.442
metu.edu.tr,193.140.0.149 (193.140.0.149),63.665
metu.edu.tr,144.122.1.18 (144.122.1.18),126.354
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.598
metu.edu.tr,161.9.79.253 (161.9.79.253),49.373
metu.edu.tr,160.75.126.25 (160.75.126.25),57.262
metu.edu.tr,193.255.0.141 (193.255.0.141),49.399
metu.edu.tr,193.140.0.149 (193.140.0.149),170.519
metu.edu.tr,144.122.1.18 (144.122.1.18),182.841
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.898
metu.edu.tr,161.9.79.253 (161.9.79.253),7.9
metu.edu.tr,160.75.126.25 (160.75.126.25),9.16
metu.edu.tr,193.255.0.141 (193.255.0.141),9.915
metu.edu.tr,193.140.0.149 (193.140.0.149),21.5
metu.edu.tr,144.122.1.18 (144.122.1.18),144.613
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.912
metu.edu.tr,161.9.79.253 (161.9.79.253),5.583
metu.edu.tr,160.75.126.25 (160.75.126.25),21.074
metu.edu.tr,193.255.0.141 (193.255.0.141),13.719
metu.edu.tr,193.140.0.149 (193.140.0.149),100.558
metu.edu.tr,144.122.1.18 (144.122.1.18),146.221
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.252
metu.edu.tr,161.9.79.253 (161.9.79.253),141.959
