Destination,Hop,Delay (ms),Group
itu.edu.tr,161.9.79.253 (161.9.79.253),18.222,0
itu.edu.tr,161.9.79.253 (161.9.79.253),24.089,1
itu.edu.tr,161.9.79.253 (161.9.79.253),12.922,2
itu.edu.tr,161.9.79.253 (161.9.79.253),35.312,3
itu.edu.tr,161.9.79.253 (161.9.79.253),250.239,4
itu.edu.tr,161.9.79.253 (161.9.79.253),83.677,5
itu.edu.tr,161.9.79.253 (161.9.79.253),31.786,6
itu.edu.tr,161.9.79.253 (161.9.79.253),19.65,7
itu.edu.tr,161.9.79.253 (161.9.79.253),1.685,8
itu.edu.tr,161.9.79.253 (161.9.79.253),94.821,9
metu.edu.tr,144.122.1.18 (144.122.1.18),128.984,10
metu.edu.tr,144.122.1.18 (144.122.1.18),104.329,11
metu.edu.tr,144.122.1.18 (144.122.1.18),117.266,12
metu.edu.tr,144.122.1.18 (144.122.1.18),190.725,13
metu.edu.tr,144.122.1.18 (144.122.1.18),151.497,14
metu.edu.tr,144.122.1.18 (144.122.1.18),153.41,15
metu.edu.tr,144.122.1.18 (144.122.1.18),75.562,16
metu.edu.tr,144.122.1.18 (144.122.1.18),47.946,17
metu.edu.tr,144.122.1.18 (144.122.1.18),178.318,18
metu.edu.tr,144.122.1.18 (144.122.1.18),188.823,19
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),42.196,20
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),32.923,21
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),299.853,22
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),28.682,23
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),112.539,24
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),157.934,25
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),406.33,26
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),441.637,27
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),533.094,28
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),662.027,29
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),481.435,30
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),564.526,31
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),768.694,32
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),224.38,33
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),569.183,34
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1228.406,35
