Destination,Hop,Delay (ms)
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),178.517
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),183.73
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),192.135
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),112.539
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.232
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),85.442
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),78.136
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),96.754
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),157.934
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.353
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),312.234
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),312.904
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),308.375
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),406.33
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),11.372
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),369.857
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),376.991
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),384.068
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),441.637
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),7.519
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),520.383
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),523.342
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),514.629
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),533.094
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.75
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),660.901
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),652.103
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),653.943
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),662.027
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.875
erbakan.edu.tr,161.9.79.253 (161.9.79.253),632.438
erbakan.edu.tr,160.75.126.25 (160.75.126.25),636.076
erbakan.edu.tr,193.255.0.141 (193.255.0.141),638.235
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),628.854
erbakan.edu.tr,* istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),489.174
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),477.316
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),481.435
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),4.135
erbakan.edu.tr,161.9.79.253 (161.9.79.253),489.516
erbakan.edu.tr,160.75.126.25 (160.75.126.25),473.928
erbakan.edu.tr,193.255.0.141 (193.255.0.141),477.206
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),479.867
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),540.77
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),565.782
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),564.526
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),2.338
erbakan.edu.tr,161.9.79.253 (161.9.79.253),597.236
erbakan.edu.tr,160.75.126.25 (160.75.126.25),587.693
erbakan.edu.tr,193.255.0.141 (193.255.0.141),592.395
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),591.287
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),773.112
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),755.796
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),768.694
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),3.746
erbakan.edu.tr,* 201.120.192.193.static.turk.net (193.192.120.201),393.898
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),396.478
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),296.919
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),224.38
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.271
erbakan.edu.tr,161.9.79.253 (161.9.79.253),927.255
erbakan.edu.tr,160.75.126.25 (160.75.126.25),925.891
erbakan.edu.tr,193.255.0.141 (193.255.0.141),934.194
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),923.287
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),569.183
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),6.092
erbakan.edu.tr,161.9.79.253 (161.9.79.253),1059.867
erbakan.edu.tr,160.75.126.25 (160.75.126.25),1065.734
erbakan.edu.tr,193.255.0.141 (193.255.0.141),1068.877
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),1061.904
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),786.479
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),1220.619
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1228.406
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),2.64
erbakan.edu.tr,161.9.79.253 (161.9.79.253),770.093
erbakan.edu.tr,160.75.126.25 (160.75.126.25),751.699
erbakan.edu.tr,193.255.0.141 (193.255.0.141),774.178
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),773.059
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),951.597
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),322.352
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),323.572
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),4.308
erbakan.edu.tr,161.9.79.253 (161.9.79.253),439.369
erbakan.edu.tr,160.75.126.25 (160.75.126.25),442.733
erbakan.edu.tr,193.255.0.141 (193.255.0.141),439.473
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),435.08
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),462.196
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),673.994
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),683.646
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),8.084
erbakan.edu.tr,161.9.79.253 (161.9.79.253),358.426
erbakan.edu.tr,160.75.126.25 (160.75.126.25),358.369
erbakan.edu.tr,193.255.0.141 (193.255.0.141),363.04
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),357.582
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),383.709
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),559.8
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),554.445
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.128
erbakan.edu.tr,161.9.79.253 (161.9.79.253),967.917
erbakan.edu.tr,160.75.126.25 (160.75.126.25),964.668
erbakan.edu.tr,193.255.0.141 (193.255.0.141),961.804
