Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.809
itu.edu.tr,161.9.63.253 (161.9.63.253),34.603
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.528
itu.edu.tr,161.9.63.253 (161.9.63.253),40.557
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.425
itu.edu.tr,161.9.63.253 (161.9.63.253),37.682
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.497
itu.edu.tr,161.9.63.253 (161.9.63.253),94.927
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.615
itu.edu.tr,161.9.63.253 (161.9.63.253),49.321
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.015
itu.edu.tr,161.9.63.253 (161.9.63.253),57.859
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.056
itu.edu.tr,161.9.63.253 (161.9.63.253),37.274
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.377
itu.edu.tr,161.9.63.253 (161.9.63.253),82.189
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),7.458
itu.edu.tr,161.9.63.253 (161.9.63.253),38.13
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.367
itu.edu.tr,161.9.63.253 (161.9.63.253),74.405
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.272
metu.edu.tr,161.9.63.253 (161.9.63.253),36.874
metu.edu.tr,160.75.126.25 (160.75.126.25),34.48
metu.edu.tr,193.255.0.141 (193.255.0.141),35.17
metu.edu.tr,193.140.0.149 (193.140.0.149),51.379
metu.edu.tr,144.122.1.18 (144.122.1.18),51.805
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.405
metu.edu.tr,161.9.63.253 (161.9.63.253),68.858
metu.edu.tr,160.75.126.25 (160.75.126.25),69.046
metu.edu.tr,193.255.0.141 (193.255.0.141),71.534
metu.edu.tr,193.140.0.149 (193.140.0.149),71.378
metu.edu.tr,144.122.1.18 (144.122.1.18),52.984
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),4.211
metu.edu.tr,161.9.63.253 (161.9.63.253),43.145
metu.edu.tr,160.75.126.25 (160.75.126.25),43.114
metu.edu.tr,193.255.0.141 (193.255.0.141),38.945
metu.edu.tr,144.122.1.18 (144.122.1.18),52.782
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.328
metu.edu.tr,161.9.63.253 (161.9.63.253),37.518
metu.edu.tr,160.75.126.25 (160.75.126.25),37.064
metu.edu.tr,193.255.0.141 (193.255.0.141),38.005
metu.edu.tr,193.140.0.149 (193.140.0.149),36.842
metu.edu.tr,144.122.1.18 (144.122.1.18),51.245
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.705
metu.edu.tr,161.9.63.253 (161.9.63.253),42.254
