Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.77
itu.edu.tr,V12.bbrouter (192.168.1.1),3.998
itu.edu.tr,172.17.1.250 (172.17.1.250),11.232
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.608
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),8.647
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),14.974
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.76
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.737
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.908
itu.edu.tr,V12.bbrouter (192.168.1.1),6.533
itu.edu.tr,172.17.1.250 (172.17.1.250),13.426
itu.edu.tr,* 225.100.146.159.srv.turk.net (159.146.100.225),16.437
itu.edu.tr,* 229.100.146.159.srv.turk.net (159.146.100.229),13.829
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),8.149
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.15
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.274
itu.edu.tr,V12.bbrouter (192.168.1.1),8.808
itu.edu.tr,172.17.1.250 (172.17.1.250),11.255
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.904
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.525
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),17.203
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.81
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),18.054
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.428
itu.edu.tr,V12.bbrouter (192.168.1.1),8.75
itu.edu.tr,172.17.1.250 (172.17.1.250),13.662
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),13.286
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),11.203
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),12.724
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),35.53
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),27.54
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.214
itu.edu.tr,V12.bbrouter (192.168.1.1),7.016
itu.edu.tr,172.17.1.250 (172.17.1.250),35.663
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),38.551
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),36.208
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),38.856
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),16.832
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.716
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.602
itu.edu.tr,V12.bbrouter (192.168.1.1),8.801
itu.edu.tr,172.17.1.250 (172.17.1.250),13.723
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),18.484
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),14.366
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),20.287
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),11.072
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),18.6
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.559
itu.edu.tr,V12.bbrouter (192.168.1.1),17.677
itu.edu.tr,172.17.1.250 (172.17.1.250),14.035
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),25.412
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),10.764
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),25.118
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),29.684
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.51
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.008
itu.edu.tr,V12.bbrouter (192.168.1.1),5.843
itu.edu.tr,172.17.1.250 (172.17.1.250),15.206
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),16.0
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),11.082
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),27.868
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),10.976
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.95
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.499
itu.edu.tr,V12.bbrouter (192.168.1.1),5.649
itu.edu.tr,172.17.1.250 (172.17.1.250),18.661
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),18.273
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),14.807
