Destination,Hop,Delay (ms),Group
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.737,0
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.15,1
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),18.054,2
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),27.54,3
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.716,4
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),18.6,5
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.51,6
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.95,7
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),27.629,8
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.061,9
metu.edu.tr,144.122.1.18 (144.122.1.18),19.419,10
metu.edu.tr,144.122.1.18 (144.122.1.18),20.692,11
metu.edu.tr,144.122.1.18 (144.122.1.18),16.41,12
metu.edu.tr,144.122.1.18 (144.122.1.18),23.195,13
metu.edu.tr,144.122.1.18 (144.122.1.18),17.384,14
metu.edu.tr,144.122.1.18 (144.122.1.18),15.494,15
metu.edu.tr,144.122.1.18 (144.122.1.18),19.617,16
metu.edu.tr,144.122.1.18 (144.122.1.18),17.037,17
metu.edu.tr,144.122.1.18 (144.122.1.18),18.607,18
metu.edu.tr,144.122.1.18 (144.122.1.18),21.329,19
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),27.984,20
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.368,21
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.761,22
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.785,23
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),20.057,24
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),90.395,25
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),32.526,26
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.656,27
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),68.887,28
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.122,29
erbakan.edu.tr,172.67.69.193 (172.67.69.193),22.514,30
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.398,31
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.277,32
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.958,33
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.256,34
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.431,35
erbakan.edu.tr,172.67.69.193 (172.67.69.193),65.717,36
erbakan.edu.tr,172.67.69.193 (172.67.69.193),6.907,37
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.937,38
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.726,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),54.199,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),103.58,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),60.399,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),55.886,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),55.655,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.885,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),56.367,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),51.115,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),52.162,48
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),66.655,49
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),19.567,50
google.com,142.251.242.231 (142.251.242.231),20.921,51
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),20.533,52
google.com,142.250.60.187 (142.250.60.187),18.266,53
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),40.901,54
google.com,142.251.242.77 (142.251.242.77),20.037,55
google.com,sof04s03-in-f14.1e100.net (216.58.213.110),15.597,56
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),15.883,57
google.com,sof02s17-in-f14.1e100.net (216.58.212.14),18.283,58
google.com,142.250.213.35 (142.250.213.35),21.577,59
cam.ac.uk,d-dw.s-dr.net.cam.ac.uk (193.60.88.6),73.119,60
